repo	files	nodes	edges	sccs_cyclic	dup_pairs	dup_per100f	size_mb	verdict
xkbcommon/libxkbcommon	126	126	485	0	7	5.6	9	VIOLATION_KEPT
libretro/beetle-psx-libretro	219	219	463	0	14	6.4	27	VIOLATION_KEPT
storaged-project/udisks	156	156	693	0	7	4.5	5	VIOLATION_KEPT
FujiNetWIFI/fujinet-firmware	1774	1785	3430	2	433	24.4	78	VIOLATION_KEPT
FreeTDS/freetds	192	192	678	0	4	2.1	8	VIOLATION_KEPT
ruby/openssl	54	54	53	0	5	9.3	3	VIOLATION_KEPT
NetworkManager/NetworkManager							259	TOO_BIG
PackageKit/PackageKit	221	221	550	0	13	5.9	13	VIOLATION_KEPT
HermanChen/mpp	343	343	1133	1	28	8.2	21	VIOLATION_KEPT
frank-w/BPI-Router-Linux							4675	TOO_BIG
libressl/openbsd	564	564	836	0	40	7.1	48	VIOLATION_KEPT
Mellanox/mstflint	35	35	37	0	8	22.9	38	VIOLATION_KEPT
ceph/ceph-client							3424	TOO_BIG
Xastir/Xastir	152	152	670	0	14	9.2	12	VIOLATION_KEPT
aros-development-team/AROS							222	TOO_BIG
ROCm/amdgpu							4015	TOO_BIG
altera-fpga/linux-socfpga							3230	TOO_BIG
espressif/openocd-esp32	662	662	2525	1	36	5.4	26	VIOLATION_KEPT
GNOME/evolution							570	TOO_BIG
nrfconnect/sdk-nrfxlib							665	TOO_BIG
Neverball/neverball	188	188	853	0	6	3.2	45	VIOLATION_KEPT
pgsql-jp/jpug-doc							731	TOO_BIG
system76/coreboot							230	TOO_BIG
OpenDataPlane/odp	985	976	2495	3	16	1.6	17	VIOLATION_KEPT
ovis-hpc/ldms	91	91	75	0	12	13.2	15	VIOLATION_KEPT
sandialabs/seacas							408	TOO_BIG
PhoshMobi/phosh	482	482	968	0	23	4.8	11	VIOLATION_KEPT
storaged-project/libblockdev	89	89	147	0	16	18.0	4	VIOLATION_KEPT
brltty/brltty	734	734	2772	0	14	1.9	16	VIOLATION_KEPT
GNOME/gdm	79	79	147	0	7	8.9	5	VIOLATION_KEPT
OpenLI-NZ/openli	162	162	643	0	21	13.0	6	VIOLATION_KEPT
erofs/erofs-utils	98	98	312	1	2	2.0	3	VIOLATION_KEPT
kromenak/gengine	911	911	3397	1	15	1.6	41	VIOLATION_KEPT
linux-surface/kernel							3848	TOO_BIG
SELinuxProject/selinux-kernel							3059	TOO_BIG
nss-dev/nss	1214	1215	4752	3	103	8.5	125	VIOLATION_KEPT
gnutls/gnutls	582	582	2524	2	26	4.5	31	VIOLATION_KEPT
error27/smatch	1469	1469	927	0	10	0.7	12	VIOLATION_KEPT
kofemann/ms-nfs41-client	127	127	487	0	5	3.9	7	VIOLATION_KEPT
FreshTomato-Project/freshtomato-arm							1239	TOO_BIG
zfogg/ascii-chat							202	TOO_BIG
GNOME/gnome-calendar	189	189	452	0	15	7.9	7	VIOLATION_KEPT
jcmvbkbc/linux-xtensa							3610	TOO_BIG
ROCm/ROCgdb							526	TOO_BIG
aseprite/freetype2	480	480	1681	1	31	6.5	13	VIOLATION_KEPT
sysprogs/openocd	634	634	2280	1	55	8.7	20	VIOLATION_KEPT
libretro/libretro-prboom	213	213	1155	1	0	0.0	16	VIOLATION_KEPT
xfce-mirror/xfce4-panel	134	134	333	0	6	4.5	9	VIOLATION_KEPT
greenbone/gvm-libs	114	114	152	0	7	6.1	5	VIOLATION_KEPT
brazilofmux/tinymux	461	460	1175	1	51	11.1	69	VIOLATION_KEPT
quakeforge/quakeforge	1356	1356	7458	1	68	5.0	23	VIOLATION_KEPT
GNOME/gnome-control-center							229	TOO_BIG
OpenDataPlane/odp-dpdk	1168	1030	2592	2	38	3.3	18	VIOLATION_KEPT
IOsonata/IOsonata							207	TOO_BIG
k21971/EvilHack	514	514	1122	0	77	15.0	28	VIOLATION_KEPT
shafferjohn/Prime95	210	210	401	0	85	40.5	63	VIOLATION_KEPT
xfce-mirror/xfdesktop	76	76	176	0	3	3.9	9	VIOLATION_KEPT
ni/linux							3145	TOO_BIG
21cmfast/21cmFAST							205	TOO_BIG
codepointerapp/codepointer	137	137	240	0	5	3.6	29	VIOLATION_KEPT
GNOME/gegl	590	590	1256	2	43	7.3	45	VIOLATION_KEPT
nrfconnect/sdk-mcuboot	212	214	298	0	19	9.0	10	VIOLATION_KEPT
nunuhara/xsystem4	231	231	706	0	3	1.3	20	VIOLATION_KEPT
CTSRD-CHERI/qemu							339	TOO_BIG
digi-embedded/linux							2878	TOO_BIG
GNOME/gnome-software	317	317	779	2	19	6.0	22	VIOLATION_KEPT
heatd/Onyx	1799	1823	5747	4	42	2.3	24	VIOLATION_KEPT
kvm-riscv/linux							2936	TOO_BIG
frank-w/u-boot							406	TOO_BIG
LineageOS/android_kernel_oneplus_sm8150							1489	TOO_BIG
LuminariMUD/Luminari-Source	379	381	3452	1	49	12.9	42	VIOLATION_KEPT
ibm-s390-linux/s390-tools	678	678	2121	1	53	7.8	14	VIOLATION_KEPT
copperwater/xNetHack	544	544	1290	0	58	10.7	35	VIOLATION_KEPT
ShimmerResearch/shimmer3-firmware	62	62	59	0	20	32.3	5	VIOLATION_KEPT
schwabe/openvpn	263	263	1091	2	11	4.2	10	VIOLATION_KEPT
zephyrproject-rtos/lvgl							401	TOO_BIG
