scanned 618 files, 1688 fragments, 29584 candidate pairs
  creations/demos/z_yaw_rotation/main_mouse.cpp:162-221  <->  creations/demos/z_yaw_rotation/main_static.cpp:108-150  (STRUCTURAL, weighted=0.765179, line=0.627907)
  creations/demos/chunk_streaming_smoke/main.cpp:91-132  <->  creations/demos/sprite_demo/main.cpp:56-87  (STRUCTURAL, weighted=0.752454, line=0.594595)
  engine/script/include/irreden/script/lua_script.hpp:650-684  <->  engine/script/include/irreden/script/lua_script.hpp:753-791  (STRUCTURAL, weighted=0.751069, line=0.761905)
  engine/script/include/irreden/script/lua_script.hpp:603-635  <->  engine/script/include/irreden/script/lua_script.hpp:700-736  (STRUCTURAL, weighted=0.749525, line=0.75)
  engine/script/include/irreden/script/lua_script.hpp:559-589  <->  engine/script/include/irreden/script/lua_script.hpp:650-684  (STRUCTURAL, weighted=0.747881, line=0.736842)
  engine/script/include/irreden/script/lua_script.hpp:518-546  <->  engine/script/include/irreden/script/lua_script.hpp:603-635  (STRUCTURAL, weighted=0.746126, line=0.722222)
  engine/script/include/irreden/script/lua_script.hpp:480-506  <->  engine/script/include/irreden/script/lua_script.hpp:559-589  (STRUCTURAL, weighted=0.744249, line=0.705882)
  engine/script/include/irreden/script/lua_script.hpp:445-469  <->  engine/script/include/irreden/script/lua_script.hpp:518-546  (STRUCTURAL, weighted=0.742236, line=0.6875)
  engine/script/include/irreden/script/lua_script.hpp:413-435  <->  engine/script/include/irreden/script/lua_script.hpp:480-506  (STRUCTURAL, weighted=0.740072, line=0.666667)
  engine/script/include/irreden/script/lua_script.hpp:388-408  <->  engine/script/include/irreden/script/lua_script.hpp:445-469  (STRUCTURAL, weighted=0.737741, line=0.642857)
  engine/script/include/irreden/script/lua_script.hpp:365-383  <->  engine/script/include/irreden/script/lua_script.hpp:413-435  (STRUCTURAL, weighted=0.73522, line=0.615385)
  engine/script/include/irreden/script/lua_script.hpp:603-635  <->  engine/script/include/irreden/script/lua_script.hpp:753-791  (STRUCTURAL, weighted=0.726603, line=0.714286)
  engine/script/include/irreden/script/lua_script.hpp:559-589  <->  engine/script/include/irreden/script/lua_script.hpp:700-736  (STRUCTURAL, weighted=0.724288, line=0.7)
  engine/script/include/irreden/script/lua_script.hpp:518-546  <->  engine/script/include/irreden/script/lua_script.hpp:650-684  (STRUCTURAL, weighted=0.721821, line=0.684211)
  engine/script/include/irreden/script/lua_script.hpp:480-506  <->  engine/script/include/irreden/script/lua_script.hpp:603-635  (STRUCTURAL, weighted=0.719189, line=0.666667)
  engine/script/include/irreden/script/lua_script.hpp:445-469  <->  engine/script/include/irreden/script/lua_script.hpp:559-589  (STRUCTURAL, weighted=0.716373, line=0.647059)
  engine/script/include/irreden/script/lua_script.hpp:413-435  <->  engine/script/include/irreden/script/lua_script.hpp:518-546  (STRUCTURAL, weighted=0.713354, line=0.625)
  engine/script/include/irreden/script/lua_script.hpp:388-408  <->  engine/script/include/irreden/script/lua_script.hpp:480-506  (STRUCTURAL, weighted=0.710109, line=0.6)
