scanned 719 files, 3673 fragments, 66759 candidate pairs
  source/Irrlicht/CTRTextureFlatWire.cpp:66-70  <->  source/Irrlicht/CTRTextureGouraudAdd.cpp:85-89  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D9CgMaterialRenderer.cpp:42-47  <->  source/Irrlicht/COpenGLCgMaterialRenderer.cpp:43-48  (LITERAL, weighted=1, line=0.666667)
  source/Irrlicht/CGUIEditBox.cpp:78-89  <->  source/Irrlicht/CGUIStaticText.cpp:150-161  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRTextureFlat.cpp:181-202  <->  source/Irrlicht/CTRTextureFlatWire.cpp:178-199  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D9Driver.cpp:2052-2057  <->  source/Irrlicht/COpenGLDriver.cpp:2270-2275  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D9Driver.cpp:2033-2038  <->  source/Irrlicht/COpenGLDriver.cpp:2251-2256  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D11Driver.cpp:1654-1659  <->  source/Irrlicht/COpenGLDriver.cpp:2270-2275  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D11ParallaxMapRenderer.cpp:160-166  <->  source/Irrlicht/CD3D9ParallaxMapRenderer.cpp:303-309  (RENAMED, weighted=1, line=0.714286)
  source/Irrlicht/CD3D11ParallaxMapRenderer.cpp:160-166  <->  source/Irrlicht/CD3D9NormalMapRenderer.cpp:237-243  (MIXED, weighted=1, line=0.5)
  source/Irrlicht/CD3D11ParallaxMapRenderer.cpp:160-166  <->  source/Irrlicht/CD3D8ParallaxMapRenderer.cpp:215-221  (MIXED, weighted=1, line=0.5)
  source/Irrlicht/CD3D11ParallaxMapRenderer.cpp:160-166  <->  source/Irrlicht/CD3D8NormalMapRenderer.cpp:180-186  (MIXED, weighted=1, line=0.5)
  source/Irrlicht/CD3D8ParallaxMapRenderer.cpp:215-221  <->  source/Irrlicht/CD3D9ParallaxMapRenderer.cpp:303-309  (MIXED, weighted=1, line=0.5)
  source/Irrlicht/CD3D8NormalMapRenderer.cpp:180-186  <->  source/Irrlicht/CD3D9ParallaxMapRenderer.cpp:303-309  (MIXED, weighted=1, line=0.5)
  source/Irrlicht/CD3D8NormalMapRenderer.cpp:180-186  <->  source/Irrlicht/CD3D9NormalMapRenderer.cpp:237-243  (RENAMED, weighted=1, line=0.714286)
  source/Irrlicht/CD3D8NormalMapRenderer.cpp:180-186  <->  source/Irrlicht/CD3D8ParallaxMapRenderer.cpp:215-221  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D8NormalMapRenderer.cpp:117-160  <->  source/Irrlicht/CD3D8ParallaxMapRenderer.cpp:152-195  (MIXED, weighted=1, line=0.666667)
  source/Irrlicht/CD3D8ParallaxMapRenderer.cpp:215-221  <->  source/Irrlicht/CD3D9NormalMapRenderer.cpp:237-243  (RENAMED, weighted=1, line=0.714286)
  source/Irrlicht/CTarReader.cpp:255-259  <->  source/Irrlicht/CWADReader.cpp:257-261  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRTextureFlatWire.cpp:66-70  <->  source/Irrlicht/CTRTextureGouraudNoZ.cpp:69-73  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRTextureFlatWire.cpp:66-70  <->  source/Irrlicht/CTRTextureGouraudWire.cpp:70-74  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRTextureGouraudAlpha.cpp:281-304  <->  source/Irrlicht/CTRTextureGouraudAlphaNoZ.cpp:281-304  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D8MaterialRenderer.h:406-435  <->  source/Irrlicht/CD3D9MaterialRenderer.h:442-471  (RENAMED, weighted=1, line=0.62963)
  source/Irrlicht/CD3D8MaterialRenderer.h:167-187  <->  source/Irrlicht/CD3D9MaterialRenderer.h:199-219  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRTextureFlat.cpp:69-73  <->  source/Irrlicht/CTRTextureFlatWire.cpp:66-70  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRTextureFlat.cpp:69-73  <->  source/Irrlicht/CTRTextureGouraud.cpp:140-144  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRTextureFlat.cpp:69-73  <->  source/Irrlicht/CTRTextureGouraudAdd.cpp:85-89  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRTextureFlat.cpp:69-73  <->  source/Irrlicht/CTRTextureGouraudNoZ.cpp:69-73  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D9NormalMapRenderer.cpp:237-243  <->  source/Irrlicht/CD3D9ParallaxMapRenderer.cpp:303-309  (LITERAL, weighted=1, line=0.714286)
  source/Irrlicht/CD3D11Driver.cpp:1635-1640  <->  source/Irrlicht/CD3D9Driver.cpp:2033-2038  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D11Driver.cpp:2041-2046  <->  source/Irrlicht/COpenGLDriver.cpp:2127-2132  (EXACT, weighted=1, line=1)
  source/Irrlicht/CTRTextureGouraudAlpha.cpp:253-260  <->  source/Irrlicht/CTRTextureGouraudAlphaNoZ.cpp:253-260  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D11NormalMapRenderer.cpp:155-161  <->  source/Irrlicht/CD3D11ParallaxMapRenderer.cpp:160-166  (LITERAL, weighted=1, line=0.714286)
  source/Irrlicht/CD3D11NormalMapRenderer.cpp:155-161  <->  source/Irrlicht/CD3D8NormalMapRenderer.cpp:180-186  (RENAMED, weighted=1, line=0.714286)
  source/Irrlicht/CD3D11NormalMapRenderer.cpp:155-161  <->  source/Irrlicht/CD3D8ParallaxMapRenderer.cpp:215-221  (RENAMED, weighted=1, line=0.714286)
  source/Irrlicht/CD3D11HLSLMaterialRenderer.cpp:31-51  <->  source/Irrlicht/CD3D9HLSLMaterialRenderer.cpp:38-61  (LITERAL, weighted=1, line=0.764706)
  source/Irrlicht/CD3D11NormalMapRenderer.cpp:155-161  <->  source/Irrlicht/CD3D9NormalMapRenderer.cpp:237-243  (RENAMED, weighted=1, line=0.714286)
  source/Irrlicht/CTRTextureGouraudAlpha.cpp:114-118  <->  source/Irrlicht/CTRTextureGouraudAlphaNoZ.cpp:114-118  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D11NormalMapRenderer.cpp:155-161  <->  source/Irrlicht/CD3D9ParallaxMapRenderer.cpp:303-309  (MIXED, weighted=1, line=0.5)
  source/Irrlicht/CD3D11Driver.cpp:1654-1659  <->  source/Irrlicht/CD3D9Driver.cpp:2052-2057  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D11Driver.cpp:1654-1659  <->  source/Irrlicht/CD3D8Driver.cpp:1133-1138  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D11ShaderMaterialRenderer.cpp:96-104  <->  source/Irrlicht/CD3D9ShaderMaterialRenderer.cpp:69-80  (EXACT, weighted=1, line=0.625)
  source/Irrlicht/CD3D11Driver.cpp:2041-2046  <->  source/Irrlicht/CD3D9Driver.cpp:1888-1893  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D11Texture.cpp:717-746  <->  source/Irrlicht/CD3D9Texture.cpp:566-595  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D11Driver.cpp:1635-1640  <->  source/Irrlicht/COpenGLDriver.cpp:2251-2256  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D11Texture.cpp:670-707  <->  source/Irrlicht/CD3D9Texture.cpp:518-555  (EXACT, weighted=1, line=1)
  source/Irrlicht/CD3D8Driver.cpp:717-725  <->  source/Irrlicht/CSoftwareDriver.cpp:209-217  (STRUCTURAL, weighted=0.995177, line=0.6)
  source/Irrlicht/CD3D8Driver.cpp:2130-2155  <->  source/Irrlicht/CD3D9Driver.cpp:3065-3090  (STRUCTURAL, weighted=0.988449, line=0.652174)
  source/Irrlicht/CColladaFileLoader.cpp:430-456  <->  source/Irrlicht/CIrrMeshFileLoader.cpp:430-455  (STRUCTURAL, weighted=0.985639, line=0.652174)
  source/Irrlicht/CD3D8ShaderMaterialRenderer.cpp:85-96  <->  source/Irrlicht/CD3D9ShaderMaterialRenderer.cpp:69-80  (STRUCTURAL, weighted=0.98417, line=0.6)
  source/Irrlicht/CIrrDeviceFB.cpp:312-325  <->  source/Irrlicht/CIrrDeviceLinux.cpp:1207-1220  (STRUCTURAL, weighted=0.974873, line=0.777778)
  tools/GUIEditor/CGUIEditWindow.cpp:214-236  <->  tools/GUIEditor/CGUITextureCacheBrowser.cpp:306-330  (STRUCTURAL, weighted=0.955833, line=0.636364)
  source/Irrlicht/CColladaFileLoader.cpp:2580-2587  <->  source/Irrlicht/CIrrMeshFileLoader.cpp:481-488  (STRUCTURAL, weighted=0.947001, line=0.666667)
  source/Irrlicht/CD3D8ParallaxMapRenderer.cpp:251-310  <->  source/Irrlicht/CD3D9ParallaxMapRenderer.cpp:339-399  (STRUCTURAL, weighted=0.9385, line=0.745098)
